hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,0,342,2015,5,27,1,0,0,2,0.0,0,0,103,3,1,0,0,0,2,2,3,0,0,2,0.0,0.0,0.0,1,116
1,0,737,2015,5,27,1,0,0,2,0.0,0,0,103,3,1,0,0,0,2,2,4,0,0,2,0.0,0.0,0.0,1,116
1,0,7,2015,5,27,1,0,1,1,0.0,0,0,47,3,1,0,0,0,0,2,0,0,0,2,75.0,0.0,0.0,1,117
1,0,13,2015,5,27,1,0,1,1,0.0,0,0,47,2,0,0,0,0,0,0,0,0,0,2,75.0,0.0,0.0,1,117
1,0,14,2015,5,27,1,0,2,2,0.0,0,0,47,6,3,0,0,0,0,0,0,0,0,2,98.0,0.0,1.0,1,118
1,0,0,2015,5,27,1,0,2,2,0.0,0,0,103,3,1,0,0,0,2,2,0,0,0,2,107.0,0.0,0.0,1,118
1,0,9,2015,5,27,1,0,2,2,0.0,0,1,103,3,1,0,0,0,2,2,0,0,0,2,103.0,0.0,1.0,1,118
1,1,85,2015,5,27,1,0,3,2,0.0,0,0,103,6,3,0,0,0,0,0,0,0,0,2,82.0,0.0,1.0,0,67
1,1,75,2015,5,27,1,0,3,2,0.0,0,2,103,5,3,0,0,0,3,3,0,0,0,2,105.5,0.0,0.0,0,56
1,1,23,2015,5,27,1,0,4,2,0.0,0,0,103,6,3,0,0,0,4,4,0,0,0,2,123.0,0.0,0.0,0,109
1,0,35,2015,5,27,1,0,4,2,0.0,0,2,103,6,3,0,0,0,3,3,0,0,0,2,145.0,0.0,0.0,1,120
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,129,6,3,0,0,0,3,4,0,0,0,2,97.0,0.0,3.0,1,120
1,0,18,2015,5,27,1,0,4,2,1.0,0,2,41,6,3,0,0,0,6,6,1,0,0,2,154.77,0.0,1.0,1,120
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,103,6,3,0,0,0,4,4,0,0,0,2,94.71,0.0,0.0,1,120
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,59,6,3,0,0,0,3,4,0,0,0,2,97.0,0.0,3.0,1,120
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,103,5,3,0,0,0,4,4,0,0,0,0,97.5,0.0,0.0,1,120
1,0,12,2015,5,27,1,0,1,2,0.0,0,0,59,6,3,0,0,0,0,4,0,0,0,2,88.2,0.0,0.0,1,117
1,0,0,2015,5,27,1,0,1,2,0.0,0,0,46,2,0,0,0,0,0,6,0,0,0,2,107.42,0.0,0.0,1,117
1,0,7,2015,5,27,1,0,4,2,0.0,0,0,47,3,1,0,0,0,6,6,0,0,0,2,153.0,0.0,1.0,1,120
1,0,37,2015,5,27,1,1,4,1,0.0,0,0,47,6,3,0,0,0,5,5,0,0,0,2,97.29,0.0,1.0,1,121
1,0,72,2015,5,27,1,2,4,2,0.0,0,0,103,3,1,0,0,0,0,0,1,0,0,2,84.67,0.0,1.0,1,122
1,0,72,2015,5,27,1,2,4,2,0.0,0,0,103,3,1,0,0,0,3,3,1,0,0,2,99.67,0.0,1.0,1,122
1,0,127,2015,5,27,1,2,5,2,0.0,0,2,47,5,3,0,0,0,3,8,0,0,0,0,94.95,0.0,1.0,1,116
1,0,78,2015,5,27,1,2,5,2,0.0,0,0,103,5,3,0,0,0,3,3,0,0,0,2,63.6,1.0,0.0,1,123
1,0,48,2015,5,27,1,2,5,2,0.0,0,0,59,5,3,0,0,0,3,3,0,0,0,0,79.5,0.0,0.0,1,123
1,1,60,2015,5,27,1,2,5,2,0.0,0,0,103,6,3,0,0,0,4,4,0,0,0,2,107.0,0.0,2.0,0,71
